og1	count	conservation	cross_species_conservation	protein_ID	og	gene_name	description	Condition_treatment	Condition_control	Strain_treatment	Strain_control	species_analyzed	logFC	AveExpr	t	P.Value	adj.P.Val	B	hit	species	complete_name
	43	conserved	conserved across species	P77330		borD	Prophage lipoprotein Bor homolog	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	-1.43807718081403	20.2999321533731	-42.0908096928683	1.57045626468647e-06	0.000383043175666	6.48673258413627	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P75937		flgE	Flagellar hook protein FlgE	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.78482459500319	17.7957818114822	41.3221491536843	1.69262786698408e-06	0.000383043175666	6.4183569533104	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P07330		cheB	Protein-glutamate methylesterase/protein-glutamine glutaminase	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.36326798538126	18.5809119550907	39.457753425112	2.04197717514763e-06	0.000383043175666	6.24421167035506	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P04949		fliC	Flagellin	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	2.32842104065895	23.4105814566845	38.1901040436853	2.33172618330578e-06	0.000383043175666	6.11864682588861	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P63235		gadC	Glutamate/gamma-aminobutyrate antiporter	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	-1.08669956959649	21.1794108913481	-37.8611138833083	2.41515243169062e-06	0.000383043175666	6.08505574215575	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P07363		cheA	Chemotaxis protein CheA	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.25639746413138	19.4371522172486	36.1033065580794	2.92969205238829e-06	0.000422408326826	5.89815102630631	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P25798		fliF	Flagellar M-ring protein	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.15667687826452	20.037785405068	34.5562189053922	3.50007041572447e-06	0.000462592639945	5.72260924055552	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P0A6S0		flgH	Flagellar L-ring protein	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.09352426380026	19.1533685380994	33.6029763089581	3.92111077152603e-06	0.000478375514126	5.60888899623183	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P07018		tap	Methyl-accepting chemotaxis protein IV	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	2.20179206534348	16.610730193417	29.7842949572231	6.39814788759901e-06	0.000676497503315	5.10531158034775	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P07017		tar	Methyl-accepting chemotaxis protein II	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.87874609046944	20.873254523838	28.4305539588417	7.72683053690397e-06	0.000711259618079	4.9059217652064	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P0A853		tnaA	Tryptophanase	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.19502415957295	26.8468813754298	28.4198491131371	7.73864098812319e-06	0.000711259618079	4.90429664451081	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P39180		flu	Antigen 43	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	3.2928274605149	22.1639022995009	22.8815305131049	1.86227628373347e-05	0.001237227174949	3.94373122405011	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P0A6S3		flgI	Flagellar P-ring protein	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.06770201196012	19.9188844577777	22.2219502694404	2.0962128971883e-05	0.001238249779816	3.81077295241413	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	P76042		ycjN	Putative ABC transporter periplasmic-binding protein YcjN	nodrug	nodrug	dmprA	BW25113	Escherichia coli (strain K12) OX=83333	1.42436562991968	17.789823598239	22.0451874294514	2.16502865387468e-05	0.001238249779816	3.77435308914197	1	E. coli	E. coli dmprA
	43	conserved	conserved across species	PBBIODIN_03938		PBBIODIN_03938	Formate dehydrogenase H	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.8487761839432	21.9745335972136	48.0660279833129	1.84828264137976e-08	1.06091423615198e-06	10.6489991704319	1	K. pneumoniae	K. pneumoniae MS299R
	43	conserved	conserved across species	PBBIODIN_03937		PBBIODIN_03937	Formate dehydrogenase H	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.40689043790894	23.0911743219786	27.9670439123354	3.64308282696814e-07	4.89153109398763e-06	7.35788331832002	1	K. pneumoniae	K. pneumoniae MS299R
	43	conserved	conserved across species	PBBIODIN_03938		PBBIODIN_03938	Formate dehydrogenase H	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	2.79639679310877	22.4483439017964	79.3330784407819	5.67918475967992e-08	7.56614677267798e-06	9.78877228077065	1	K. pneumoniae	K. pneumoniae MS274R
	43	conserved	conserved across species	PBBIODIN_03937		PBBIODIN_03937	Formate dehydrogenase H	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	2.30090572959403	23.5381819678211	65.5558580000965	1.28896331549283e-07	8.51861534864974e-06	8.96319018376557	1	K. pneumoniae	K. pneumoniae MS274R
	43	conserved	conserved across species	PBBIODIN_03938		PBBIODIN_03938	Formate dehydrogenase H	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.35096824647604	21.7256296284801	45.1269993313104	3.33365894051778e-09	6.92799912674046e-08	12.0536208017942	1	K. pneumoniae	K. pneumoniae MS311R
	43	conserved	conserved across species	PBBIODIN_03937		PBBIODIN_03937	Formate dehydrogenase H	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.11233802579068	22.9438981159195	32.2352275476074	2.79943652401608e-08	2.79456793875692e-07	9.6768862528365	1	K. pneumoniae	K. pneumoniae MS311R
	43	conserved	conserved across species	PRZ_05188		PRZ_05188	hypothetical protein	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	4.72216055460109	20.7212515369047	88.5673584431699	2.68794189127497e-08	1.07588081631635e-05	10.4118409862443	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_05184		PRZ_05184	hypothetical protein	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	3.45003142048546	22.1641494582586	65.4611549271183	1.01001037253227e-07	1.18422704347374e-05	9.19923344344017	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_05001		PRZ_05001	Dihydropteroate synthase	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	2.45263645105546	20.8823875199549	44.2332693377003	5.61401639230784e-07	2.10769702380775e-05	7.40219335782036	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_05190		PRZ_05190	Oxaloacetate decarboxylase alpha chain	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	2.55598769878391	19.2320504264987	40.7949154839145	7.99734845490193e-07	2.42305627747643e-05	7.00922043775046	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_05162		PRZ_05162	hypothetical protein	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	2.48767850682384	22.2724895551479	36.046439179054	1.3735513820924e-06	3.3410186434839e-05	6.39787450701813	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_04400		PRZ_04400	RepFIB replication protein A	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	2.17635859125768	19.6366416089599	27.0799510296376	4.78674788046758e-06	6.97127603715019e-05	4.9493717302451	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_00984		PRZ_00984	hypothetical protein	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	-1.22725510382099	20.3209045592993	-24.0288033222495	8.05814324539207e-06	9.7959722366985e-05	4.33389759182115	1	K. pneumoniae	K. pneumoniae MS530R
	43	conserved	conserved across species	PRZ_05001		PRZ_05001	Dihydropteroate synthase	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	2.34850978606224	20.8303241874583	54.9640415122854	4.82071538236224e-17	2.60167983291862e-15	29.601457931334	1	K. pneumoniae	K. pneumoniae MS493R
	43	conserved	conserved across species	PRZ_05190		PRZ_05190	Oxaloacetate decarboxylase alpha chain	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	2.29117907290652	19.09964611356	46.388736863403	4.52555231609629e-16	1.32468285591497e-14	27.2953193224709	1	K. pneumoniae	K. pneumoniae MS493R
	43	conserved	conserved across species	PRZ_04400		PRZ_04400	RepFIB replication protein A	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	2.01832048115854	19.5576225539104	44.3334953824759	8.22629729541605e-16	2.25505006812437e-14	26.6748568095719	1	K. pneumoniae	K. pneumoniae MS493R
	43	conserved	conserved across species	PRZ_05162		PRZ_05162	hypothetical protein	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	2.23398789011337	22.1456442467927	42.6982264151261	1.35001137735108e-15	3.3306709266933e-14	26.1591673626753	1	K. pneumoniae	K. pneumoniae MS493R
	43	conserved	conserved across species	PRZ_00984		PRZ_00984	hypothetical protein	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	-1.16804770502071	20.3505082586995	-27.1442084412496	5.1500928874588e-13	5.96926873600091e-12	19.9012939743043	1	K. pneumoniae	K. pneumoniae MS493R
	43	conserved	conserved across species	PRZ_05184		PRZ_05184	hypothetical protein	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.15045363681817	21.014360566425	23.6391205512578	3.11387662593737e-12	2.9068459097264e-11	17.9902504023691	1	K. pneumoniae	K. pneumoniae MS493R
gabT	1	strain-specific	strain-specific	D0CCF6	gabT	gabT	4-aminobutyrate transaminase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	2.56592965129809	27.1480409764662	67.0144911907876	4.37647583409937e-07	0.000195519057888	7.61227790949367	1	A. baumannii	A. baumannii MS69R
group_5496	1	strain-specific	strain-specific	D0C8V9	group_5496	HMPREF0010_01517	TonB-dependent siderophore receptor	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.8626949728277	23.2483045170732	-48.4468126361664	1.53728150733719e-06	0.000415625207072	6.56296908183656	1	A. baumannii	A. baumannii MS69R
group_1311	1	strain-specific	strain-specific	D0CCI1	group_1311	kup	Probable potassium transport system protein kup	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.91389791738897	21.5119560869756	-45.1532880789965	2.01882738715489e-06	0.000415625207072	6.30707687208308	1	A. baumannii	A. baumannii MS69R
hcha_2	1	strain-specific	strain-specific	D0C608	hcha_2	HMPREF0010_00188	DJ-1/PfpI family protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.69742546195726	22.2880243944433	45.1424823131319	2.02069827142335e-06	0.000415625207072	6.30619170828243	1	A. baumannii	A. baumannii MS69R
BepF	6	conserved	conserved across species	D0C5J4	adeG	bpeF	Efflux pump membrane transporter	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	5.33670551431608	25.7924914501745	43.4136744314827	2.35034086489694e-06	0.000415625207072	6.16044447946414	1	A. baumannii	A. baumannii MS69R
BepF	6	conserved	conserved across species	MS02-S_02963	bepf~~~oqxA	MS02-S_02963	Efflux pump periplasmic linker BepF	nodrug	nodrug	MS366R	MS02S	Kpneumoniae_MS02	3.3009401155596	25.0643353616354	83.8818685845629	3.7117029787699e-09	8.05439546393068e-06	11.8084863875778	1	K. pneumoniae	K. pneumoniae MS366R
BepF	6	conserved	conserved across species	MS25-S_03502	bepf~~~oqxA	MS25-S_03502	Efflux pump periplasmic linker BepF	nodrug	nodrug	MS386R	MS25S	Kpneumoniae_MS25S	3.32526143291222	26.1471020644698	53.1252952337158	9.82455944559029e-10	8.25348144144363e-07	12.8499068513927	1	K. pneumoniae	K. pneumoniae MS386R
BepF	6	conserved	conserved across species	PBBIODIN_02563	bepf~~~oqxA	PBBIODIN_02563	Efflux pump periplasmic linker BepF	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	3.46503597496412	26.1342647107227	85.0637754868819	7.91889995961104e-10	5.11334659611623e-07	13.727462022612	1	K. pneumoniae	K. pneumoniae MS299R
BepF	6	conserved	conserved across species	PBBIODIN_02563	bepf~~~oqxA	PBBIODIN_02563	Efflux pump periplasmic linker BepF	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	3.05784519320737	25.9306693198443	75.7668521062228	6.92025619452254e-08	7.56614677267798e-06	9.59504360671301	1	K. pneumoniae	K. pneumoniae MS274R
BepF	6	conserved	conserved across species	PBBIODIN_02563	bepf~~~oqxA	PBBIODIN_02563	Efflux pump periplasmic linker BepF	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	3.12021436320315	25.9618539048422	107.017435249509	1.39533006863366e-11	1.06789261252763e-08	17.6727005308202	1	K. pneumoniae	K. pneumoniae MS311R
group_2800	2	conserved	conserved within species	D0C8S1	group_2800	HMPREF0010_01151	Putative hydro-lyase HMPREF0010_01151	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.78315423077494	23.8155255448417	41.9218778392821	2.69086063160772e-06	0.000415625207072	6.02775247861813	1	A. baumannii	A. baumannii MS69R
group_2800	2	conserved	conserved within species	2778_02347	group_2800	2778_02347	Putative hydro-lyase	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	2.3015239078289	22.6883042276101	56.3571852279913	8.78573942233205e-25	2.42988450309069e-22	46.9851626599597	1	A. baumannii	A. baumannii MS72R
hppD	2	conserved	conserved within species	D0CFC8	hppD	hppD	4-hydroxyphenylpyruvate dioxygenase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.82433508934844	26.1759931480977	-41.7897622649952	2.72392506123409e-06	0.000415625207072	6.0156758060683	1	A. baumannii	A. baumannii MS69R
hppD	2	conserved	conserved within species	2778_00065	hppD	2778_00065	4-hydroxyphenylpyruvate dioxygenase	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	-1.94240913100781	26.0145474988487	-48.53910867268	2.10403941103291e-23	3.70310936341792e-21	43.8089937091144	1	A. baumannii	A. baumannii MS72R
GabD1	9	conserved	conserved across species	D0CCF7	group_2520	HMPREF0010_02437	Succinate-semialdehyde dehydrogenase [NAD(P)+]	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.66948095601876	25.8335157408223	40.8000011260531	2.98861524871881e-06	0.000415625207072	5.92344906878812	1	A. baumannii	A. baumannii MS69R
GabD1	9	conserved	conserved across species	2778_00202	group_2520	2778_00202	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	1.27415117774807	26.4229559162221	31.8126864981471	1.59071685477288e-19	9.62383697137592e-18	34.7120928375676	1	A. baumannii	A. baumannii MS72R
GabD1	9	conserved	conserved across species	PBBIODIN_01648	sad_1~~~gabd1	PBBIODIN_01648	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-2.98309206272481	24.6932604040311	-59.9445031329934	5.46641871945233e-09	8.36387532914534e-07	11.9078126295677	1	K. pneumoniae	K. pneumoniae MS299R
GabD1	9	conserved	conserved across species	PBBIODIN_02259	gabd_1	PBBIODIN_02259	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-2.34297344302706	23.0598863665921	-53.7837925931359	9.9438233604545e-09	9.81640642594378e-07	11.2981643260007	1	K. pneumoniae	K. pneumoniae MS299R
GabD1	9	conserved	conserved across species	PBBIODIN_01648	sad_1~~~gabd1	PBBIODIN_01648	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	-2.87712192688261	24.7462454719522	-87.5665331329412	3.71528501140152e-08	7.56614677267798e-06	10.1918199400149	1	K. pneumoniae	K. pneumoniae MS274R
GabD1	9	conserved	conserved across species	PBBIODIN_02259	gabd_1	PBBIODIN_02259	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	-2.34067714894312	23.0610345136341	-68.9216726663287	1.03948979908915e-07	8.26231964305314e-06	9.18530637996639	1	K. pneumoniae	K. pneumoniae MS274R
GabD1	9	conserved	conserved across species	PBBIODIN_02259	gabd_1	PBBIODIN_02259	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-2.16604748655483	23.1483493448282	-74.6619785171298	1.37030227297588e-10	1.40608823275187e-08	15.4604064700432	1	K. pneumoniae	K. pneumoniae MS311R
GabD1	9	conserved	conserved across species	PBBIODIN_01648	sad_1~~~gabd1	PBBIODIN_01648	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-2.23492801568815	25.0673424275494	-67.8154661277314	2.52212194309004e-10	2.22722768512874e-08	14.8311812647864	1	K. pneumoniae	K. pneumoniae MS311R
GabD1	9	conserved	conserved across species	PRZ_04273	sad_1~~~gabd1	PRZ_04273	Succinate-semialdehyde dehydrogenase [NADP(+)] 1	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.00153493383269	22.8290840762101	14.6832624701522	1.37833833184949e-09	6.80111514029732e-09	11.4965620393748	1	K. pneumoniae	K. pneumoniae MS493R
group_3071	1	strain-specific	strain-specific	D0CFR1	group_3071	HMPREF0010_03591	Uncharacterized protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.46882124502467	20.1988187435697	-40.6775395269393	3.02357453381937e-06	0.000415625207072	5.91181877031178	1	A. baumannii	A. baumannii MS69R
bauB	1	strain-specific	strain-specific	D0CC20	bauB	HMPREF0010_02300	Periplasmic binding protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.45986847552537	22.1867616139561	-36.8959722039644	4.40989566424531e-06	0.000562891682286	5.526950391337	1	A. baumannii	A. baumannii MS69R
group_2518	1	strain-specific	strain-specific	D0C662	group_2518	dhaT	1,3-propanediol dehydrogenase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.52567111236513	23.4437984143979	35.8791112517362	4.91316760768124e-06	0.000585322034328	5.41422985609098	1	A. baumannii	A. baumannii MS69R
maiA	2	conserved	conserved within species	D0CFD1	maiA	maiA	Maleylacetoacetate isomerase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.18808361306786	22.3226749904212	-33.0261114452405	6.76811921590509e-06	0.00067192383549	5.07412962875732	1	A. baumannii	A. baumannii MS69R
maiA	2	conserved	conserved within species	2778_00068	maiA	2778_00068	Maleylpyruvate isomerase	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	-1.47504660713125	22.0993730815684	-36.255722588454	1.01482205831106e-20	7.2766500181119e-19	37.5347339043643	1	A. baumannii	A. baumannii MS72R
group_3207	1	strain-specific	strain-specific	D0C9T9	group_3207	HMPREF0010_01402	Efflux pump membrane protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.1521161779539	23.9521299694882	31.2611578484223	8.36833203138182e-06	0.00077499017691	4.84420065044934	1	A. baumannii	A. baumannii MS69R
group_7564	1	strain-specific	strain-specific	D0C7J2	group_7564	HMPREF0010_00722	HAD hydrolase, family IA, variant 3	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.11874211312198	23.9298205041818	30.6759574348368	9.00212046639977e-06	0.00077499017691	4.76432499597708	1	A. baumannii	A. baumannii MS69R
group_6395	1	strain-specific	strain-specific	D0CCT0	group_6395	HMPREF0010_02560	Flavodoxin-like protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.09958247973236	21.7455453502236	30.5838295728693	9.10732720486836e-06	0.00077499017691	4.75157692591666	1	A. baumannii	A. baumannii MS69R
group_2185	1	strain-specific	strain-specific	D0C8F5	group_2185	phnX	Phosphonoacetaldehyde hydrolase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.0802316059729	21.1142842631286	-29.7863982029595	1.00857977256062e-05	0.00081924184253	4.63920321793232	1	A. baumannii	A. baumannii MS69R
