og1	count	conservation	cross_species_conservation	protein_ID	og	gene_name	description	Condition_treatment	Condition_control	Strain_treatment	Strain_control	species_analyzed	logFC	AveExpr	t	P.Value	adj.P.Val	B	hit	species	complete_name
AcuI	3	conserved	conserved within species	PBBIODIN_00746	AcuI	PBBIODIN_00746	putative acrylyl-CoA reductase AcuI	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.055100123	24.27936786	36.31435885	1.32E-08	1.65E-07	10.52389295	1	K. pneumoniae	K. pneumoniae MS311R
AdeF	1	strain-specific	strain-specific	D0C5J5	AdeF	bpeE	Multidrug efflux pump BpeE	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	2.778015352	20.09545164	76.94267511	2.56E-07	0.000195519	7.986514389	1	A. baumannii	A. baumannii MS69R
AdhE	6	conserved	conserved across species	AIL18019.1	WP_000301660.1	AIL18019.1	aldehyde-alcohol dehydrogenase	nodrug	nodrug	MS346R	25922S	Ecoli_25922	-1.13554287	26.55314269	-27.33922132	7.07E-06	0.000153631	4.73317679	1	E. coli	E. coli MS346R
AdhE	6	conserved	conserved across species	AIL18019.1	WP_000301660.1	AIL18019.1	aldehyde-alcohol dehydrogenase	nodrug	nodrug	MS511R	25922S	Ecoli_25922	-1.30654401	26.46764212	-32.48192135	2.20E-08	8.80E-07	10.21035881	1	E. coli	E. coli MS511R
AdhE	6	conserved	conserved across species	AIL18019.1	WP_000301660.1	AIL18019.1	aldehyde-alcohol dehydrogenase	nodrug	nodrug	MS529R	25922S	Ecoli_25922	-1.898811946	26.17150815	-65.68054982	2.49E-06	0.000508986	6.204858254	1	E. coli	E. coli MS529R
AdhE	6	conserved	conserved across species	PBBIODIN_00494	AdhE_2	PBBIODIN_00494	Aldehyde-alcohol dehydrogenase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	2.126637114	30.12190247	55.23874115	8.58E-09	9.50E-07	11.44985193	1	K. pneumoniae	K. pneumoniae MS299R
AdhE	6	conserved	conserved across species	PBBIODIN_00494	AdhE_2	PBBIODIN_00494	Aldehyde-alcohol dehydrogenase	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	2.422440747	30.26980429	76.220767	6.74E-08	7.57E-06	9.620406069	1	K. pneumoniae	K. pneumoniae MS274R
AdhE	6	conserved	conserved across species	PBBIODIN_00494	AdhE_2	PBBIODIN_00494	Aldehyde-alcohol dehydrogenase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.572161133	29.84466448	54.19101914	1.05E-09	3.69E-08	13.32034498	1	K. pneumoniae	K. pneumoniae MS311R
AegA	1	strain-specific	strain-specific	MS02-S_04243	AegA	MS02-S_04243	Ferredoxin--NADP reductase	Nx	nodrug	MS02S	MS02S	Kpneumoniae_MS02	-1.085161301	21.62486373	-19.35089464	4.50E-05	0.005403909	3.198686836	1	K. pneumoniae	K. pneumoniae MS02S
AglB	1	strain-specific	strain-specific	MS02-S_01913	AglB	MS02-S_01913	6-phospho-alpha-glucosidase	nodrug	nodrug	MS366R	MS02S	Kpneumoniae_MS02	-1.214288276	25.46586042	-28.54826711	8.61E-07	7.24E-05	6.839471017	1	K. pneumoniae	K. pneumoniae MS366R
Ahr	5	conserved	conserved within species	MS02-S_02283	Ahr	MS02-S_02283	Aldehyde reductase Ahr	nodrug	nodrug	MS366R	MS02S	Kpneumoniae_MS02	2.681654521	24.03919389	63.48171606	1.52E-08	1.06E-05	10.7721348	1	K. pneumoniae	K. pneumoniae MS366R
Ahr	5	conserved	conserved within species	MS25-S_01787	Ahr	MS25-S_01787	Aldehyde reductase Ahr	nodrug	nodrug	MS386R	MS25S	Kpneumoniae_MS25S	1.873033378	24.19819172	37.46905136	9.19E-09	5.30E-06	11.10295219	1	K. pneumoniae	K. pneumoniae MS386R
Ahr	5	conserved	conserved within species	PBBIODIN_03267	Ahr	PBBIODIN_03267	Aldehyde reductase Ahr	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	2.546557382	24.64517255	63.09862099	4.12E-09	8.30E-07	12.18953804	1	K. pneumoniae	K. pneumoniae MS299R
Ahr	5	conserved	conserved within species	PBBIODIN_03267	Ahr	PBBIODIN_03267	Aldehyde reductase Ahr	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	2.023557378	24.38367255	62.15591699	1.62E-07	9.74E-06	8.723138428	1	K. pneumoniae	K. pneumoniae MS274R
Ahr	5	conserved	conserved within species	PBBIODIN_03267	Ahr	PBBIODIN_03267	Aldehyde reductase Ahr	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	2.544748898	24.64426831	84.05490494	6.46E-11	1.23E-08	16.2161134	1	K. pneumoniae	K. pneumoniae MS311R
AmyA	2	conserved	conserved within species	PBBIODIN_00721	AmyA	PBBIODIN_00721	Cytoplasmic alpha-amylase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.436349949	20.45498432	-33.83756846	1.28E-07	2.49E-06	8.538531646	1	K. pneumoniae	K. pneumoniae MS299R
AmyA	2	conserved	conserved within species	PBBIODIN_00721	AmyA	PBBIODIN_00721	Cytoplasmic alpha-amylase	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	-1.094888842	20.62571487	-18.03217422	3.24E-05	0.000159799	2.565220958	1	K. pneumoniae	K. pneumoniae MS274R
AntA	1	strain-specific	strain-specific	2778_01830	AntA	2778_01830	"Anthranilate 1,2-dioxygenase large subunit"	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	-2.576941712	22.01768277	-63.62803998	6.62E-26	6.41E-23	49.53613709	1	A. baumannii	A. baumannii MS72R
AntC	1	strain-specific	strain-specific	2778_01832	AntC	2778_01832	"Anthranilate 1,2-dioxygenase electron transfer component"	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	-1.89440917	20.44561031	-46.88239267	4.40E-23	6.08E-21	43.06597743	1	A. baumannii	A. baumannii MS72R
ApbC	2	conserved	conserved within species	PRZ_02375	ApbC	PRZ_02375	Iron-sulfur cluster carrier protein	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	1.281516352	20.96383619	22.94604049	9.85E-06	0.00011045	4.095439606	1	K. pneumoniae	K. pneumoniae MS530R
ApbC	2	conserved	conserved within species	PRZ_02375	ApbC	PRZ_02375	Iron-sulfur cluster carrier protein	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.491139299	21.06864766	34.5446757	2.19E-14	3.68E-13	23.23780703	1	K. pneumoniae	K. pneumoniae MS493R
ApbE_2	2	conserved	conserved within species	PBBIODIN_02820	ApbE_2	PBBIODIN_02820	FAD:protein FMN transferase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.409072304	20.13858847	16.38907432	6.76E-06	3.97E-05	3.9942533	1	K. pneumoniae	K. pneumoniae MS299R
ApbE_2	2	conserved	conserved within species	PBBIODIN_02820	ApbE_2	PBBIODIN_02820	FAD:protein FMN transferase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.16360591	20.01585527	12.90618648	8.58E-06	2.18E-05	3.14018926	1	K. pneumoniae	K. pneumoniae MS311R
ApbE~~~apbE_1	3	conserved	conserved within species	PBBIODIN_00940	ApbE~~~apbE_1	PBBIODIN_00940	FAD:protein FMN transferase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.407363904	21.48407729	-24.98594779	6.76E-07	7.50E-06	6.65259759	1	K. pneumoniae	K. pneumoniae MS299R
ApbE~~~apbE_1	3	conserved	conserved within species	PBBIODIN_00940	ApbE~~~apbE_1	PBBIODIN_00940	FAD:protein FMN transferase	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	-1.4578714	21.45882354	-35.49782907	1.79E-06	2.80E-05	6.026541774	1	K. pneumoniae	K. pneumoniae MS274R
ApbE~~~apbE_1	3	conserved	conserved within species	PBBIODIN_00940	ApbE~~~apbE_1	PBBIODIN_00940	FAD:protein FMN transferase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-1.346915372	21.51430156	-37.4622216	1.08E-08	1.46E-07	10.74431262	1	K. pneumoniae	K. pneumoniae MS311R
AplK	3	conserved	conserved within species	PBBIODIN_03112	AplK	PBBIODIN_03112	Glycerol kinase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.99939862	20.55023251	45.45530131	2.51E-08	1.20E-06	10.3208061	1	K. pneumoniae	K. pneumoniae MS299R
AplK	3	conserved	conserved within species	PBBIODIN_03112	AplK	PBBIODIN_03112	Glycerol kinase	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	1.090808599	20.0959375	34.35460353	2.06E-06	3.00E-05	5.862262335	1	K. pneumoniae	K. pneumoniae MS274R
AplK	3	conserved	conserved within species	PBBIODIN_03112	AplK	PBBIODIN_03112	Glycerol kinase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.319027169	20.21004678	38.01195732	9.88E-09	1.40E-07	10.84736462	1	K. pneumoniae	K. pneumoniae MS311R
AraB_1~~~araB_2	2	conserved	conserved within species	PRZ_02360	AraB_1~~~araB_2	PRZ_02360	Ribulokinase	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	1.436733067	19.72957711	24.87955172	6.93E-06	8.93E-05	4.513478408	1	K. pneumoniae	K. pneumoniae MS530R
AraB_1~~~araB_2	2	conserved	conserved within species	PRZ_02360	AraB_1~~~araB_2	PRZ_02360	Ribulokinase	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.443233536	19.73282734	28.49153024	2.74E-13	3.50E-12	20.57176284	1	K. pneumoniae	K. pneumoniae MS493R
ArgC	1	strain-specific	strain-specific	2778_01597	ArgC	2778_01597	N-acetyl-gamma-glutamyl-phosphate reductase	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	1.126090703	26.35766772	28.01773146	2.28E-18	1.10E-16	31.97228639	1	A. baumannii	A. baumannii MS72R
ArgT	2	conserved	conserved within species	PBBIODIN_01004	ArgT	PBBIODIN_01004	Lysine/arginine/ornithine-binding periplasmic protein	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.092090926	23.42852137	-11.10774933	5.48E-05	0.000174599	1.555572132	1	K. pneumoniae	K. pneumoniae MS299R
ArgT	2	conserved	conserved within species	PBBIODIN_01004	ArgT	PBBIODIN_01004	Lysine/arginine/ornithine-binding periplasmic protein	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-1.280644619	23.33424452	-43.06752847	4.48E-09	8.43E-08	11.72674626	1	K. pneumoniae	K. pneumoniae MS311R
AroF	4	conserved	conserved within species	PBBIODIN_02538	AroF	PBBIODIN_02538	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive"	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	3.341806778	27.10644889	75.97062572	1.48E-09	5.11E-07	13.16816366	1	K. pneumoniae	K. pneumoniae MS299R
AroF	4	conserved	conserved within species	PBBIODIN_02538	AroF	PBBIODIN_02538	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive"	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	3.171507337	27.02129917	66.91576599	1.18E-07	8.52E-06	9.054708292	1	K. pneumoniae	K. pneumoniae MS274R
AroF	4	conserved	conserved within species	PBBIODIN_02538	AroF	PBBIODIN_02538	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive"	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	3.373434375	27.12226269	114.1475912	9.27E-12	1.07E-08	18.03885745	1	K. pneumoniae	K. pneumoniae MS311R
AroF	4	conserved	conserved within species	PRZ_03414	AroF	PRZ_03414	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive"	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.177061414	20.89002026	26.81899439	6.03E-13	6.75E-12	19.73451814	1	K. pneumoniae	K. pneumoniae MS493R
AroG	5	conserved	conserved within species	PBBIODIN_03844	AroG	PBBIODIN_03844	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.68386647	25.89128883	42.46552928	3.66E-08	1.33E-06	9.916549393	1	K. pneumoniae	K. pneumoniae MS299R
AroG	5	conserved	conserved within species	PBBIODIN_03844	AroG	PBBIODIN_03844	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	1.882032855	25.99037202	44.08749279	7.08E-07	1.69E-05	7.099343148	1	K. pneumoniae	K. pneumoniae MS274R
AroG	5	conserved	conserved within species	PBBIODIN_03844	AroG	PBBIODIN_03844	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.326811972	25.71276158	44.84484826	3.47E-09	7.05E-08	12.00980527	1	K. pneumoniae	K. pneumoniae MS311R
AroG	5	conserved	conserved within species	PRZ_00561	AroG	PRZ_00561	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	-1.049164011	25.37680385	-21.80407703	1.23E-05	0.000127304	3.830880776	1	K. pneumoniae	K. pneumoniae MS530R
AroG	5	conserved	conserved within species	PRZ_00561	AroG	PRZ_00561	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	-1.189637423	25.30656714	-25.98411942	9.10E-13	9.58E-12	19.2970633	1	K. pneumoniae	K. pneumoniae MS493R
AroL	3	conserved	conserved within species	PBBIODIN_02175	AroL	PBBIODIN_02175	Shikimate kinase 2	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.244861198	22.69096562	31.49710246	1.90E-07	3.12E-06	8.096495125	1	K. pneumoniae	K. pneumoniae MS299R
AroL	3	conserved	conserved within species	PBBIODIN_02175	AroL	PBBIODIN_02175	Shikimate kinase 2	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	1.256301214	22.69668563	38.89969007	1.21E-06	2.19E-05	6.482963477	1	K. pneumoniae	K. pneumoniae MS274R
AroL	3	conserved	conserved within species	PBBIODIN_02175	AroL	PBBIODIN_02175	Shikimate kinase 2	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.275093887	22.70608197	38.97932237	8.42E-09	1.29E-07	11.02492943	1	K. pneumoniae	K. pneumoniae MS311R
Asd~~~asd_1~~~asd_2	1	strain-specific	strain-specific	PBBIODIN_00051	Asd~~~asd_1~~~asd_2	PBBIODIN_00051	Aspartate-semialdehyde dehydrogenase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.134639024	19.34446407	27.3191463	7.95E-08	5.83E-07	8.494748055	1	K. pneumoniae	K. pneumoniae MS311R
AsnC	2	conserved	conserved within species	PRZ_04689	AsnC	PRZ_04689	Regulatory protein AsnC	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	-1.745151746	20.93385096	-35.31164943	1.50E-06	3.46E-05	6.295069251	1	K. pneumoniae	K. pneumoniae MS530R
AsnC	2	conserved	conserved within species	PRZ_04689	AsnC	PRZ_04689	Regulatory protein AsnC	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	-1.675408069	20.9687228	-38.62076151	5.06E-15	1.02E-13	24.7779143	1	K. pneumoniae	K. pneumoniae MS493R
AspT	1	strain-specific	strain-specific	2778_01230	AspT	2778_01230	Aspartate/alanine antiporter	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	1.017298288	23.62834949	25.08220664	2.28E-17	8.82E-16	29.59260967	1	A. baumannii	A. baumannii MS72R
AstA_2	2	conserved	conserved within species	PBBIODIN_04102	AstA_2	PBBIODIN_04102	Arginine N-succinyltransferase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.434460152	20.36717215	-24.17647543	8.10E-07	8.65E-06	6.445829336	1	K. pneumoniae	K. pneumoniae MS299R
AstA_2	2	conserved	conserved within species	PBBIODIN_04102	AstA_2	PBBIODIN_04102	Arginine N-succinyltransferase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-1.25036059	20.45922193	-41.03922038	6.08E-09	1.05E-07	11.38790628	1	K. pneumoniae	K. pneumoniae MS311R
AstC_2	2	conserved	conserved within species	PBBIODIN_04101	AstC_2	PBBIODIN_04101	Succinylornithine transaminase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.04740033	21.59820271	-17.54242227	4.67E-06	2.99E-05	4.423476773	1	K. pneumoniae	K. pneumoniae MS299R
AstC_2	2	conserved	conserved within species	PBBIODIN_04101	AstC_2	PBBIODIN_04101	Succinylornithine transaminase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-1.044308939	21.5997484	-35.74753454	1.46E-08	1.79E-07	10.41232723	1	K. pneumoniae	K. pneumoniae MS311R
AstD~~~astD_1~~~astD_3	1	strain-specific	strain-specific	PBBIODIN_04103	AstD~~~astD_1~~~astD_3	PBBIODIN_04103	N-succinylglutamate 5-semialdehyde dehydrogenase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.019447738	22.68001836	-21.99661913	1.36E-06	1.24E-05	5.851287672	1	K. pneumoniae	K. pneumoniae MS299R
AstE~~~astE_1~~~astE_2	1	strain-specific	strain-specific	PBBIODIN_04105	AstE~~~astE_1~~~astE_2	PBBIODIN_04105	Succinylglutamate desuccinylase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.055018395	20.15313231	-18.72889776	3.27E-06	2.33E-05	4.836688301	1	K. pneumoniae	K. pneumoniae MS299R
AtpF	2	conserved	conserved within species	PBBIODIN_02510	AtpF	PBBIODIN_02510	ATP synthase subunit b	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	-1.021127091	25.61093186	-14.97637916	7.13E-05	0.00025946	1.607950199	1	K. pneumoniae	K. pneumoniae MS274R
AtpF	2	conserved	conserved within species	PBBIODIN_02510	AtpF	PBBIODIN_02510	ATP synthase subunit b	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-1.057937463	25.59252668	-33.07307134	2.38E-08	2.49E-07	9.859651286	1	K. pneumoniae	K. pneumoniae MS311R
AzoR~~~azoR_2	4	conserved	conserved within species	MS02-S_04114	AzoR~~~azoR_2	MS02-S_04114	FMN-dependent NADH-azoreductase	nodrug	nodrug	MS366R	MS02S	Kpneumoniae_MS02	1.009618421	22.50741522	25.84201606	1.42E-06	9.64E-05	6.287898083	1	K. pneumoniae	K. pneumoniae MS366R
AzoR~~~azoR_2	4	conserved	conserved within species	PBBIODIN_02886	AzoR~~~azoR_2	PBBIODIN_02886	FMN-dependent NADH-azoreductase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.915034172	24.80428096	49.81153643	1.52E-08	1.03E-06	10.85675077	1	K. pneumoniae	K. pneumoniae MS299R
AzoR~~~azoR_2	4	conserved	conserved within species	PBBIODIN_02886	AzoR~~~azoR_2	PBBIODIN_02886	FMN-dependent NADH-azoreductase	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	1.45071829	24.57212302	41.25312037	9.42E-07	2.00E-05	6.773438983	1	K. pneumoniae	K. pneumoniae MS274R
AzoR~~~azoR_2	4	conserved	conserved within species	PBBIODIN_02886	AzoR~~~azoR_2	PBBIODIN_02886	FMN-dependent NADH-azoreductase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.880962446	24.7872451	53.96329389	1.07E-09	3.69E-08	13.29149401	1	K. pneumoniae	K. pneumoniae MS311R
BasB	1	strain-specific	strain-specific	2778_01040	BasB	2778_01040	hypothetical protein	Nx	nodrug	2778S	2778S	Abaumanii_2778	1.445027986	21.94883689	39.85466664	2.12E-06	0.00171878	5.556235407	1	A. baumannii	A. baumannii 2778S
BasC	1	strain-specific	strain-specific	2778_01048	BasC	2778_01048	L-lysine N6-monooxygenase	Nx	nodrug	2778S	2778S	Abaumanii_2778	1.571855626	20.62722397	20.71420955	2.95E-05	0.008162727	3.581898586	1	A. baumannii	A. baumannii 2778S
BasD	2	conserved	conserved within species	2778_01049	BasD	2778_01049	hypothetical protein	Nx	nodrug	2778S	2778S	Abaumanii_2778	1.596538005	19.58923299	24.05198785	1.62E-05	0.006674672	4.117278289	1	A. baumannii	A. baumannii 2778S
BasD	2	conserved	conserved within species	D0CC23	BasD	HMPREF0010_02303	Condensation domain protein	Nx	nodrug	19606S	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.75992936	19.61138277	24.74281008	5.82E-05	0.034687639	2.626697143	1	A. baumannii	A. baumannii 19606S
BasF	2	conserved	conserved within species	2778_01051	BasF	2778_01051	Enterobactin synthase component B	Nx	nodrug	2778S	2778S	Abaumanii_2778	1.768633071	18.55794137	47.91671195	1.01E-06	0.00171878	5.926449314	1	A. baumannii	A. baumannii 2778S
BasF	2	conserved	conserved within species	D0CC25	BasF	entB	Isochorismatase	Nx	nodrug	19606S	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.543229031	18.43378207	43.29134512	8.73E-06	0.015595822	3.438827081	1	A. baumannii	A. baumannii 19606S
BauB	1	strain-specific	strain-specific	D0CC20	BauB	HMPREF0010_02300	Periplasmic binding protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.459868476	22.18676161	-36.8959722	4.41E-06	0.000562892	5.526950391	1	A. baumannii	A. baumannii MS69R
BauF	2	conserved	conserved within species	2778_01038	BauF	2778_01038	hypothetical protein	Nx	nodrug	2778S	2778S	Abaumanii_2778	2.068119634	21.51269438	23.68268923	1.72E-05	0.006674672	4.06389424	1	A. baumannii	A. baumannii 2778S
BauF	2	conserved	conserved within species	D0CC13	BauF	HMPREF0010_02293	Siderophore-interacting FAD-binding domain protein	Nx	nodrug	19606S	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	2.262286668	21.34562569	29.77313536	3.11E-05	0.027787889	2.962456289	1	A. baumannii	A. baumannii 19606S
BepA_1	2	conserved	conserved within species	PRZ_03589	BepA_1	PRZ_03589	Lipopolysaccharide assembly protein B	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	-1.506113827	17.94372012	-30.06456813	3.03E-06	5.01E-05	5.483514179	1	K. pneumoniae	K. pneumoniae MS530R
BepA_1	2	conserved	conserved within species	PRZ_03589	BepA_1	PRZ_03589	Lipopolysaccharide assembly protein B	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	-1.565861287	17.91384639	-36.09375783	1.23E-14	2.19E-13	23.84401809	1	K. pneumoniae	K. pneumoniae MS493R
