GO.id	GO.tree	GO.term	hit_genes	p_value	p_adj	freq_foreground	freq_background	freq_back_minus_fore	freq_fore_non_GOid	freq_back_non_GOid	frac_genes_GOid	fold_enrich	num_genes_back
GO:0030488	BP	tRNA methylation		0.0639326610737391	0.130324270650314	1	6	5	29	2707	0.0333333333333333	15.0666666666667	6
GO:0006351	BP	DNA-templated transcription		0.0991747041676283	0.160283400187723	2	49	47	28	2665	0.0666666666666667	3.68979591836735	49
GO:0016310	BP	phosphorylation		0.109623304832457	0.160283400187723	2	52	50	28	2662	0.0666666666666667	3.47692307692308	52
GO:0045893	BP	positive regulation of DNA-templated transcription		0.123992819013144	0.160283400187723	2	56	54	28	2658	0.0666666666666667	3.22857142857143	56
GO:0046336	BP	ethanolamine catabolic process		0.114174922498583	0.160283400187723	1	11	10	29	2702	0.0333333333333333	8.21818181818182	11
GO:0006355	BP	regulation of DNA-templated transcription		0.229825458995337	0.276835211971656	3	152	149	27	2563	0.1	1.78421052631579	152
GO:0000160	BP	phosphorelay signal transduction system		0.305933243911307	0.344988551644665	1	33	32	29	2680	0.0333333333333333	2.73939393939394	33
GO:0006974	BP	DNA damage response		0.523413256096959	0.554818051462776	2	158	156	28	2556	0.0666666666666667	1.14430379746835	158
GO:0045892	BP	negative regulation of DNA-templated transcription		0.590614684224973	0.613776044390658	1	80	79	29	2633	0.0333333333333333	1.13	80
GO:0005829	CC	cytosol		0.0138357392114949	0.0781104839337822	13	652	639	17	2073	0.433333333333333	1.80245398773006	652
GO:0070069	CC	cytochrome complex		0.0535588080379845	0.129028037546054	1	5	4	29	2708	0.0333333333333333	18.08	5
GO:1990586	CC	divisome complex		0.0535588080379845	0.129028037546054	1	5	4	29	2708	0.0333333333333333	18.08	5
GO:0032993	CC	protein-DNA complex		0.0792509547178678	0.155566688890629	2	43	41	28	2671	0.0666666666666667	4.2046511627907	43
GO:0016020	CC	membrane		0.0958015044379626	0.160283400187723	7	367	360	23	2352	0.233333333333333	1.72425068119891	367
GO:0019867	CC	outer membrane		0.114174922498583	0.160283400187723	1	11	10	29	2702	0.0333333333333333	8.21818181818182	11
GO:0030894	CC	replisome		0.104339706982283	0.160283400187723	1	10	9	29	2703	0.0333333333333333	9.04	10
GO:0005737	CC	cytoplasm		0.287554848900012	0.331313195471753	5	329	324	25	2388	0.166666666666667	1.37386018237082	329
GO:0005886	CC	plasma membrane		0.313559374071967	0.346221808871131	11	852	841	19	1871	0.366666666666667	1.16713615023474	852
GO:0009279	CC	cell outer membrane		0.658686411556804	0.658686411556804	1	96	95	29	2617	0.0333333333333333	0.941666666666667	96
GO:0005524	MF	ATP binding		0.00103181884692367	0.0150264852977898	10	307	297	20	2415	0.333333333333333	2.94462540716612	307
GO:0042802	MF	identical protein binding		0.0147378271573174	0.0781104839337822	8	308	300	22	2412	0.266666666666667	2.34805194805195	308
GO:0008713	MF	ADP-heptose-lipopolysaccharide heptosyltransferase activity		0.0324766726129154	0.10125080285203	1	3	2	29	2710	0.0333333333333333	30.1333333333333	3
GO:0019899	MF	enzyme binding		0.0639326610737391	0.130324270650314	1	6	5	29	2707	0.0333333333333333	15.0666666666667	6
GO:0097367	MF	carbohydrate derivative binding		0.084351622518533	0.159665571195795	1	8	7	29	2705	0.0333333333333333	11.3	8
GO:0008270	MF	zinc ion binding		0.119033387570123	0.160283400187723	3	111	108	27	2604	0.1	2.44324324324324	111
GO:0043024	MF	ribosomal small subunit binding		0.114174922498583	0.160283400187723	1	11	10	29	2702	0.0333333333333333	8.21818181818182	11
GO:0043565	MF	sequence-specific DNA binding		0.123992819013144	0.160283400187723	2	56	54	28	2658	0.0666666666666667	3.22857142857143	56
GO:0050661	MF	NADP binding		0.123905699622362	0.160283400187723	1	12	11	29	2701	0.0333333333333333	7.53333333333333	12
GO:0071916	MF	dipeptide transmembrane transporter activity		0.123905699622362	0.160283400187723	1	12	11	29	2701	0.0333333333333333	7.53333333333333	12
GO:0140359	MF	ABC-type transporter activity		0.104339706982283	0.160283400187723	1	10	9	29	2703	0.0333333333333333	9.04	10
GO:0097216	MF	guanosine tetraphosphate binding		0.15248205938058	0.192417836837398	1	15	14	29	2698	0.0333333333333333	6.02666666666667	15
GO:0048038	MF	quinone binding		0.161805689090364	0.199434919111379	1	16	15	29	2697	0.0333333333333333	5.65	16
GO:0003677	MF	DNA binding		0.247756638803797	0.291802263480028	4	233	229	26	2483	0.133333333333333	1.5519313304721	233
GO:0016887	MF	ATP hydrolysis activity		0.435499119168772	0.471050067672346	2	134	132	28	2580	0.0666666666666667	1.34925373134328	134
GO:0042803	MF	protein homodimerization activity		0.61148932636259	0.623248736484947	2	185	183	28	2529	0.0666666666666667	0.977297297297297	185
