Label,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation,Mask_Path
12,232,63.952,0.713,1,463,474,8,34,468.716,20.815,468.716,20.815,13.892,5.440,85.071,2.554,248,0.935,26.476,79.114,468.500,21.000,26.000,11.000,90.000,27.214,1.028,468,13,5,7.762,2.721,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
17,128,45.086,0.791,2,473,483,12,28,478.039,20.000,478.039,20.000,8.025,5.328,84.624,1.506,138,0.928,17.493,59.036,478.000,20.000,16.000,10.000,90.000,16.814,0.961,478,18,5,5.667,1.681,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
23,315,79.486,0.627,1,81,113,33,51,96.310,41.884,96.310,41.884,17.592,5.812,21.010,3.027,340,0.926,34.540,22.109,96.621,42.448,34.539,12.627,21.801,34.814,1.008,94,41,6,8.111,2.901,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
29,212,59.375,0.756,1,461,473,34,57,466.953,45.392,466.953,45.392,12.242,5.686,-85.859,2.153,230,0.922,23.537,77.735,466.881,45.292,23.082,11.375,93.814,23.814,1.012,467,38,5,7.700,2.381,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
35,40,23.214,0.933,1,90,97,47,54,93.200,50.400,93.200,50.400,3.944,3.422,22.921,1.153,41,0.976,9.220,40.601,93.500,50.500,7.000,7.000,0.000,9.214,0.999,92,49,3,4.200,1.536,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
41,326,82.033,0.609,1,107,123,48,82,115.230,65.086,115.230,65.086,18.909,5.683,77.002,3.327,357,0.913,35.171,75.174,115.176,65.294,35.143,11.497,77.471,36.014,1.024,112,53,5,7.897,3.601,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
47,61,28.021,0.976,1,100,108,51,61,103.926,55.730,103.926,55.730,4.971,3.976,85.320,1.250,62,0.984,10.440,73.301,104.000,56.000,10.000,8.000,90.000,10.814,1.036,103,54,4,5.500,1.352,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
52,217,68.300,0.585,1,91,103,52,81,96.786,66.721,96.786,66.721,15.614,4.639,76.734,3.366,241,0.900,29.428,80.218,96.676,67.206,29.347,9.944,75.964,30.214,1.027,94,56,4,6.308,3.777,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
58,238,68.204,0.643,1,463,478,52,79,470.500,66.223,470.500,66.223,15.152,5.099,-69.391,2.972,255,0.933,29.547,113.962,470.767,65.788,29.494,10.885,110.556,29.614,1.002,470,65,5,7.571,2.961,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
64,204,59.144,0.733,1,80,92,53,76,86.402,63.760,86.402,63.760,12.196,5.480,84.417,2.225,221,0.923,23.345,80.134,86.625,64.309,23.310,10.983,83.290,24.014,1.029,85,57,5,7.273,2.401,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
70,126,48.553,0.672,1,102,112,60,80,106.706,69.937,106.706,69.937,10.669,3.908,75.602,2.730,140,0.900,20.396,78.690,106.662,70.092,20.348,8.244,74.745,21.014,1.030,105,64,4,5.615,2.627,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
76,285,70.235,0.726,1,463,486,79,103,474.479,90.507,474.479,90.507,15.636,5.914,48.602,2.644,298,0.956,31.145,47.603,474.159,89.935,31.130,12.257,49.399,31.014,0.996,472,87,6,9.333,2.585,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
81,301,87.951,0.489,1,100,116,80,117,107.477,99.786,107.477,99.786,21.380,4.822,76.039,4.434,347,0.867,38.897,72.031,106.646,98.898,38.883,11.117,73.610,39.614,1.018,109,109,5,6.806,3.961,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
87,260,72.647,0.619,1,109,121,80,111,115.292,95.235,115.292,95.235,16.925,4.981,78.503,3.398,277,0.939,32.573,72.121,115.471,95.382,32.500,10.429,75.964,33.214,1.020,113,86,5,7.143,3.321,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
111,309,73.242,0.724,1,1248,1275,572,593,1260.675,582.591,1260.675,582.591,15.921,6.331,32.829,2.515,328,0.942,30.610,38.367,1260.414,582.902,30.548,13.535,34.695,30.614,1.000,1253,577,6,10.250,2.551,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
116,240,65.888,0.695,1,1271,1296,586,606,1283.646,596.496,1283.646,596.496,14.209,5.538,36.415,2.566,255,0.941,27.659,40.601,1284.180,596.760,27.600,11.800,36.870,27.614,0.998,1282,595,6,6.920,2.301,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
122,300,71.251,0.743,1,1290,1315,588,611,1302.577,599.467,1302.577,599.467,15.457,6.285,41.969,2.459,314,0.955,30.000,36.870,1302.500,599.500,29.698,12.728,45.000,30.014,1.000,1296,594,6,10.733,2.501,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
128,284,72.592,0.677,1,1311,1338,607,630,1324.655,618.606,1324.655,618.606,16.400,5.630,38.673,2.913,302,0.940,31.906,32.196,1324.531,618.465,31.514,11.665,41.186,31.814,0.997,1323,617,6,7.870,2.651,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
134,198,57.288,0.758,1,1314,1336,622,639,1325.298,631.263,1325.298,631.263,11.945,5.502,31.835,2.171,214,0.925,23.409,19.983,1325.343,631.442,22.929,11.530,31.608,23.814,1.017,1320,628,5,8.273,2.381,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
140,178,53.496,0.782,1,537,558,727,743,546.904,734.511,546.904,734.511,10.638,5.522,34.762,1.926,187,0.952,22.847,23.199,547.000,735.000,21.213,11.314,45.000,23.014,1.007,543,731,5,6.333,2.301,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
145,359,91.687,0.537,1,531,561,730,763,545.806,747.104,545.806,747.104,21.787,5.450,47.770,3.997,391,0.918,41.110,48.945,545.232,746.662,41.096,11.733,47.490,41.014,0.998,549,751,6,7.889,3.418,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
151,226,62.651,0.724,1,550,572,739,760,561.695,749.907,561.695,749.907,13.895,5.334,44.849,2.605,239,0.946,27.203,36.027,561.500,750.500,26.870,11.314,45.000,27.214,1.000,556,744,5,8.600,2.721,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
157,425,101.819,0.515,1,813,837,741,783,824.422,763.196,824.422,763.196,24.266,5.748,65.697,4.221,455,0.934,45.310,67.964,824.294,762.536,45.284,11.880,66.038,45.614,1.007,818,750,5,8.677,4.561,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
163,253,71.021,0.630,1,556,582,760,782,568.366,770.875,568.366,770.875,16.035,5.158,34.905,3.109,269,0.941,31.241,39.806,568.600,771.200,31.200,11.200,36.870,31.214,0.999,560,765,5,7.571,3.121,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
169,403,97.051,0.538,1,843,876,770,804,858.855,787.431,858.855,787.431,23.633,5.650,45.791,4.182,434,0.929,44.598,47.726,858.790,787.700,44.587,11.926,46.469,44.214,0.991,848,775,5,8.643,4.421,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
175,228,63.992,0.700,1,557,581,774,794,568.851,783.355,568.851,783.355,13.408,5.596,39.158,2.396,246,0.927,26.420,29.476,568.898,783.157,25.739,11.794,42.510,26.214,0.992,564,779,5,7.190,2.621,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
180,431,96.265,0.584,1,835,868,776,809,850.681,793.751,850.681,793.751,23.039,6.298,44.458,3.658,474,0.909,43.186,47.816,850.500,794.000,43.134,13.435,45.000,42.814,0.991,843,787,6,9.786,3.568,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
186,346,85.270,0.598,1,583,620,779,794,602.671,786.717,602.671,786.717,20.016,5.803,-11.131,3.449,386,0.896,37.855,167.800,601.436,786.508,37.724,12.675,172.569,38.814,1.025,612,784,6,8.571,3.235,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
204,312,85.214,0.540,1,1435,1464,995,1025,1449.612,1009.308,1449.612,1009.308,20.364,5.162,-46.514,3.945,346,0.902,38.210,137.121,1449.458,1009.434,38.132,10.889,133.452,38.014,0.995,1458,1000,5,7.160,3.801,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
209,301,73.377,0.703,1,1445,1470,1001,1027,1457.573,1014.583,1457.573,1014.583,16.757,5.862,-46.546,2.859,313,0.962,31.890,131.186,1458.000,1014.500,31.820,12.021,135.000,31.614,0.991,1459,1012,6,9.875,2.635,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
215,196,58.399,0.722,1,1425,1442,1021,1043,1432.607,1032.204,1432.607,1032.204,12.375,5.238,-59.970,2.363,208,0.942,23.601,126.384,1432.387,1032.604,23.408,10.781,119.055,23.814,1.009,1435,1027,5,7.267,2.381,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
221,271,69.450,0.706,1,1431,1451,1025,1050,1441.068,1037.467,1441.068,1037.467,14.693,5.992,-59.160,2.452,287,0.944,28.302,122.005,1440.808,1037.538,28.290,12.481,123.690,28.214,0.997,1443,1033,6,9.000,2.351,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
227,241,65.102,0.715,1,1409,1432,1043,1064,1420.164,1053.380,1420.164,1053.380,14.616,5.366,-40.228,2.724,255,0.945,28.425,140.711,1420.212,1053.247,28.418,11.063,139.399,28.414,1.000,1424,1049,5,8.200,2.841,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
233,295,72.687,0.702,1,1415,1442,1050,1071,1428.381,1059.954,1428.381,1059.954,16.503,5.808,-34.417,2.841,309,0.955,32.450,146.310,1427.725,1059.893,32.442,12.616,145.008,32.414,0.999,1430,1057,6,8.714,2.701,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
239,254,66.959,0.712,1,1405,1416,1062,1090,1410.701,1076.280,1410.701,1076.280,14.918,5.573,88.212,2.677,269,0.944,28.284,81.870,1410.834,1076.009,28.179,10.983,86.820,28.614,1.012,1410,1067,5,8.889,2.861,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
244,188,55.257,0.774,1,1416,1431,1068,1088,1423.271,1078.223,1423.271,1078.223,10.414,5.952,-65.732,1.750,206,0.913,20.809,125.218,1423.307,1078.003,20.175,12.205,111.038,20.814,1.000,1425,1073,5,6.800,2.081,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
250,140,43.976,0.910,1,1412,1425,1086,1100,1418.157,1092.857,1418.157,1092.857,7.814,5.855,-55.069,1.334,144,0.972,17.029,139.764,1417.900,1092.700,16.547,12.075,116.565,17.014,0.999,1417,1091,5,5.833,1.701,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
8,171,49.434,0.879,1,470,481,3,21,475.564,12.640,475.564,12.640,9.181,6.121,85.793,1.500,177,0.966,18.974,71.565,475.500,12.000,18.000,11.000,90.000,19.414,1.023,475,9,6,8.818,1.618,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
16,292,75.884,0.637,1,461,474,22,54,467.733,37.545,467.733,37.545,17.518,5.474,82.209,3.200,317,0.921,32.558,79.380,467.604,37.933,32.467,11.154,83.660,33.414,1.026,466,26,5,8.440,3.341,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
23,247,68.569,0.660,1,84,106,36,60,94.200,47.427,94.200,47.427,14.541,5.690,53.127,2.556,266,0.929,27.803,37.694,93.900,47.200,27.400,11.600,53.130,27.814,1.000,89,40,5,7.100,2.781,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
31,244,68.665,0.650,2,75,95,41,65,85.016,52.549,85.016,52.549,14.541,5.566,60.304,2.612,271,0.900,29.206,51.953,85.569,52.746,28.900,12.155,60.255,29.214,1.000,80,45,5,7.000,2.921,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
39,209,57.248,0.801,1,86,97,64,86,91.490,74.610,91.490,74.610,11.661,5.867,89.404,1.987,219,0.954,22.804,105.255,91.500,75.000,22.000,11.000,90.000,23.414,1.027,91,70,6,8.286,1.951,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
62,249,69.775,0.643,1,635,654,184,210,644.653,196.572,644.653,196.572,15.198,5.421,63.415,2.803,268,0.929,29.411,54.689,644.640,196.407,28.967,11.083,64.654,29.414,1.000,641,189,5,7.182,2.941,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
70,274,75.464,0.605,1,629,646,187,218,637.343,202.909,637.343,202.909,17.087,5.205,66.943,3.283,292,0.938,32.650,62.650,637.259,202.603,32.564,10.767,66.801,32.814,1.005,634,196,5,7.833,3.281,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
78,232,64.182,0.708,1,646,662,208,232,654.392,220.086,654.392,220.086,13.770,5.541,67.989,2.485,248,0.935,26.627,55.713,654.672,220.431,26.183,11.327,68.199,26.614,1.000,652,214,5,7.667,2.661,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
85,262,68.204,0.708,1,640,656,216,243,647.718,230.252,647.718,230.252,14.934,5.712,70.083,2.614,276,0.949,28.653,60.751,647.550,230.150,28.460,11.700,71.565,29.014,1.013,644,221,5,8.333,2.901,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
101,353,84.064,0.628,1,1257,1291,580,600,1273.463,590.086,1273.463,590.086,18.779,6.128,23.711,3.064,375,0.941,36.056,19.440,1273.429,590.237,35.899,12.362,24.775,36.614,1.015,1263,585,6,9.154,3.051,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
109,318,82.167,0.592,1,1253,1285,588,609,1268.519,599.220,1268.519,599.220,18.817,5.564,26.002,3.382,345,0.922,35.511,32.347,1268.196,599.189,35.341,11.436,25.463,35.414,0.997,1258,594,5,8.565,3.541,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
116,363,85.634,0.622,1,1288,1322,595,617,1305.640,605.343,1305.640,605.343,19.847,6.015,29.818,3.299,392,0.926,38.013,26.565,1305.727,605.270,37.920,12.796,30.579,37.614,0.990,1297,600,6,9.083,3.135,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
124,294,75.924,0.641,1,1283,1314,603,622,1298.459,612.891,1298.459,612.891,17.121,5.535,26.477,3.093,312,0.942,33.615,22.751,1298.800,612.900,33.541,11.628,26.565,33.814,1.006,1289,608,5,8.250,3.381,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
132,289,76.058,0.628,1,545,572,734,760,558.164,746.382,558.164,746.382,17.973,5.316,45.134,3.381,312,0.926,33.601,36.529,558.250,746.250,33.234,11.314,45.000,33.614,1.000,550,738,5,8.143,3.361,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
140,242,62.095,0.789,1,541,562,742,764,551.479,753.264,551.479,753.264,13.831,5.670,46.979,2.439,249,0.972,26.401,52.696,551.250,753.250,26.163,11.314,45.000,26.414,1.001,552,754,6,9.154,2.201,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
147,272,69.680,0.704,1,829,851,754,779,839.412,765.908,839.412,765.908,15.259,5.822,52.831,2.621,283,0.961,29.732,42.274,839.128,765.480,29.294,11.741,54.462,29.614,0.996,833,758,5,8.875,2.961,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
155,225,62.326,0.728,1,565,588,755,776,577.300,765.873,577.300,765.873,13.287,5.584,43.144,2.380,231,0.974,26.627,34.287,577.500,766.000,26.163,10.607,45.000,26.614,1.000,572,761,5,6.789,2.661,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
163,253,65.888,0.732,1,557,581,761,782,568.990,771.630,568.990,771.630,14.435,5.714,41.775,2.526,262,0.966,28.844,33.690,569.000,772.000,28.284,11.314,45.000,28.814,0.999,564,767,6,7.455,2.401,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
171,197,56.272,0.782,1,581,602,775,791,591.327,782.683,591.327,782.683,11.754,5.433,32.587,2.164,205,0.961,23.707,27.646,591.038,782.192,23.575,11.371,33.690,23.414,0.988,586,779,5,8.143,2.341,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
178,294,69.680,0.761,1,844,868,775,798,856.350,787.150,856.350,787.150,15.096,6.349,45.036,2.378,307,0.958,30.000,36.870,856.000,787.000,29.698,12.728,45.000,30.014,1.000,853,784,6,8.789,2.501,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
186,235,61.865,0.772,1,573,596,781,800,584.351,790.121,584.351,790.121,12.905,5.922,34.330,2.179,250,0.940,25.080,23.499,584.157,790.159,24.850,12.278,36.027,25.214,1.005,579,786,6,8.059,2.101,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
194,246,66.118,0.707,1,597,621,786,808,609.459,797.028,609.459,797.028,14.334,5.614,39.933,2.553,259,0.950,27.459,33.111,609.603,797.259,27.156,11.543,41.634,27.414,0.998,606,794,6,7.100,2.285,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
202,238,63.206,0.749,1,592,615,794,814,603.122,804.756,603.122,804.756,13.225,5.916,37.128,2.236,254,0.937,25.807,35.538,602.945,805.207,25.780,12.413,38.157,25.414,0.985,601,804,6,9.000,2.118,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
233,394,89.561,0.617,1,1429,1458,998,1030,1443.624,1013.891,1443.624,1013.891,20.523,6.248,-51.236,3.285,422,0.934,39.623,132.955,1443.317,1014.124,39.438,13.084,127.405,39.414,0.995,1451,1004,6,10.130,3.285,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
240,205,58.034,0.765,1,1413,1426,1058,1080,1420.241,1069.066,1420.241,1069.066,10.717,6.343,-87.028,1.689,224,0.915,22.561,77.196,1420.231,1068.654,21.582,12.528,97.125,23.214,1.029,1420,1066,6,7.381,1.935,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
248,230,58.034,0.858,1,1412,1425,1077,1098,1418.148,1087.504,1418.148,1087.504,10.944,6.856,89.351,1.596,240,0.958,22.472,69.146,1418.500,1087.500,21.000,13.000,90.000,22.814,1.015,1418,1087,7,8.867,1.630,./nx1.8016_XY2.ome0001_cp_masks_filtered.tif
3,290,80.002,0.569,1,472,483,0,33,478.331,15.179,478.331,15.179,18.506,5.346,88.102,3.462,318,0.912,34.205,74.745,477.500,16.500,33.000,11.000,90.000,35.014,1.024,477,0,6,7.545,2.918,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
6,196,55.122,0.811,1,464,474,3,25,469.056,13.699,469.056,13.699,11.619,5.471,89.930,2.124,201,0.975,22.804,105.255,469.000,14.000,22.000,10.000,90.000,23.414,1.027,469,8,5,8.231,2.341,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
9,249,68.435,0.668,1,73,100,18,34,86.347,25.163,86.347,25.163,14.607,5.548,19.338,2.633,271,0.919,28.460,18.435,86.200,25.400,28.460,12.017,18.435,29.014,1.019,78,22,5,7.250,2.901,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
12,178,58.724,0.649,1,478,495,21,42,486.921,30.910,486.921,30.910,12.184,4.854,-58.609,2.510,201,0.886,23.601,126.384,487.086,31.092,23.384,10.615,118.610,23.614,1.001,489,26,5,6.000,2.361,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
15,276,75.368,0.611,1,66,86,22,51,76.337,36.268,76.337,36.268,16.608,5.412,60.615,3.068,295,0.936,31.906,57.804,76.546,36.014,31.832,11.378,61.699,31.814,0.997,72,29,5,6.562,3.181,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
18,135,45.642,0.814,1,466,475,24,42,470.670,32.352,470.670,32.352,9.438,4.652,80.343,2.029,140,0.964,19.313,68.749,470.500,33.000,18.000,9.000,90.000,19.614,1.016,470,31,5,6.167,1.961,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
21,238,65.428,0.699,1,96,121,27,45,108.710,36.744,108.710,36.744,13.650,5.753,29.484,2.373,255,0.933,26.571,19.799,108.923,37.115,26.071,12.481,33.690,27.014,1.017,111,38,6,7.190,2.251,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
24,197,64.412,0.597,1,80,96,30,55,88.871,41.586,88.871,41.586,14.369,4.536,64.290,3.168,216,0.912,29.155,59.036,89.309,41.696,28.937,9.950,66.038,29.014,0.995,84,33,4,5.720,3.627,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
26,346,89.387,0.544,1,457,470,31,69,463.882,50.009,463.882,50.009,21.212,5.465,84.609,3.881,401,0.863,38.833,78.111,464.000,50.000,38.533,11.792,85.236,39.814,1.025,462,37,5,8.290,3.981,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
29,42,22.888,1.007,1,94,102,37,44,97.881,40.452,97.881,40.452,3.897,3.510,-2.359,1.110,42,1.000,8.544,20.556,98.000,40.500,8.000,7.000,0.000,8.814,1.032,97,40,4,4.000,1.102,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
32,120,44.206,0.772,1,96,107,42,59,101.967,50.317,101.967,50.317,8.373,4.685,74.027,1.787,132,0.909,17.263,79.992,101.932,50.595,17.262,9.864,80.538,17.814,1.032,101,48,5,5.462,1.781,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
35,162,56.828,0.630,1,474,489,43,65,482.093,53.920,482.093,53.920,12.327,4.336,-61.789,2.843,182,0.890,23.601,126.384,482.466,53.772,23.466,9.646,120.256,23.814,1.009,485,47,4,6.000,2.977,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
38,244,66.078,0.702,1,106,121,44,70,113.611,56.725,113.611,56.725,14.219,5.559,68.855,2.558,260,0.938,28.178,62.526,113.650,56.450,27.828,11.700,71.565,28.214,1.001,111,50,5,7.348,2.821,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
41,161,48.093,0.875,1,489,499,44,62,493.848,52.680,493.848,52.680,9.445,5.605,-88.667,1.685,164,0.982,18.788,115.201,494.000,53.000,18.000,10.000,90.000,18.814,1.001,493,49,5,9.000,1.881,./nx1.8016_XY2.ome0003_cp_masks_filtered.tif
